BlockNumber,TTD,Difficulty,UnixTimestamp
24930591,8483440514217845760,340282366920938463463374607431768211453,1668121815
24932701,8484158510012049408,340282366920938463463374607431768211453,1668136215
24934808,8484875484959152128,340282366920938463463374607431768211454,1668150620
24936914,8485592119623886848,340282366920938463463374607431768211454,1668165020
24939024,8486310115418090496,340282366920938463463374607431768211454,1668179420
24941135,8487028451494660096,340282366920938463463374607431768211454,1668193820
24943246,8487746787571230720,340282366920938463463374607431768211454,1668208220
24945356,8488464783365433344,340282366920938463463374607431768211454,1668222625
24947467,8489183119442003968,340282366920938463463374607431768211454,1668237025
24949578,8489901455518573568,340282366920938463463374607431768211454,1668251420
24951687,8490619111030410240,340282366920938463463374607431768211453,1668265815
24953798,8491337447106980864,340282366920938463463374607431768211453,1668280215
24955953,8492070755607695360,340282366920938463463374607431768211453,1668294615
24958257,8492854766181081088,340282366920938463463374607431768211453,1668309015
24960558,8493637755907365888,340282366920938463463374607431768211453,1668323415
24962860,8494421085916017664,340282366920938463463374607431768211453,1668337815
24965163,8495204756207036416,340282366920938463463374607431768211453,1668352215
24967466,8495988426498056192,340282366920938463463374607431768211453,1668366615
24969769,8496772096789074944,340282366920938463463374607431768211453,1668381015
24972072,8497555767080093696,340282366920938463463374607431768211454,1668395420
24974373,8498338756806378496,340282366920938463463374607431768211454,1668409820
24976667,8499119364556095488,340282366920938463463374607431768211453,1668424215
24979198,8499980619226772480,340282366920938463463374607431768211454,1668438610
24981865,8500888152299350016,340282366920938463463374607431768211454,1668453005
24984533,8501796025654295552,340282366920938463463374607431768211454,1668467405
24987189,8502699815620837376,340282366920938463463374607431768211454,1668481800
24989833,8503599522198976512,340282366920938463463374607431768211454,1668496200
24992477,8504499228777115648,340282366920938463463374607431768211454,1668510605
24995125,8505400296484721664,340282366920938463463374607431768211454,1668525005
24997754,8506294898827357184,340282366920938463463374607431768211454,1668539410
25000399,8507194945687863296,340282366920938463463374607431768211454,1668553815
25003044,8508094992548369408,340282366920938463463374607431768211454,1668568215
25005670,8508988574043902976,340282366920938463463374607431768211454,1668582610
25008308,8509886238927840256,340282366920938463463374607431768211454,1668597015
25010934,8510779820423374848,340282366920938463463374607431768211454,1668611420
25013540,8511666596271570944,340282366920938463463374607431768211454,1668625820
25016155,8512556434661069824,340282366920938463463374607431768211454,1668640220
25018767,8513445252203466752,340282366920938463463374607431768211454,1668654620
25021373,8514332028051662848,340282366920938463463374607431768211454,1668669020
25023981,8515219484464592896,340282366920938463463374607431768211454,1668683420
25026590,8516107281159888896,340282366920938463463374607431768211454,1668697815
25029184,8516989973619682304,340282366920938463463374607431768211454,1668712215
25031790,8517876749467878400,340282366920938463463374607431768211454,1668726610
25034398,8518764205880808448,340282366920938463463374607431768211454,1668741010
25037000,8519649620599536640,340282366920938463463374607431768211454,1668755415
25039606,8520536396447732736,340282366920938463463374607431768211454,1668769820
25042221,8521426234837230592,340282366920938463463374607431768211454,1668784225
25044825,8522312330120692736,340282366920938463463374607431768211454,1668798625
25047430,8523198765686521856,340282366920938463463374607431768211454,1668813025
25050035,8524085201252350976,340282366920938463463374607431768211454,1668827425
25052638,8524970956253446144,340282366920938463463374607431768211454,1668841825
25055241,8525856711254541312,340282366920938463463374607431768211454,1668856225
25057845,8526742806538003456,340282366920938463463374607431768211454,1668870630
25060441,8527626179562529792,340282366920938463463374607431768211454,1668885030
25063024,8528505128916286464,340282366920938463463374607431768211454,1668899425
25065611,8529385439399511040,340282366920938463463374607431768211454,1668913820
25068193,8530264048470900736,340282366920938463463374607431768211454,1668928215
25070768,8531140275565722624,340282366920938463463374607431768211454,1668942620
25073353,8532019905484213248,340282366920938463463374607431768211454,1668957015
25075932,8532897493708502016,340282366920938463463374607431768211454,1668971415
25078511,8533775081932791808,340282366920938463463374607431768211454,1668985810
25081071,8534646204792109056,340282366920938463463374607431768211454,1669000210
25083645,8535522091604563968,340282366920938463463374607431768211454,1669014610
25086219,8536397978417017856,340282366920938463463374607431768211454,1669029005
25088797,8537275226358939648,340282366920938463463374607431768211454,1669043405
25091427,8538170168983942144,340282366920938463463374607431768211454,1669057805
25094114,8539084507703859200,340282366920938463463374607431768211454,1669072200
25096801,8539998846423775232,340282366920938463463374607431768211454,1669086595
25099487,8540912844861325312,340282366920938463463374607431768211454,1669100990
25102173,8541826843298874368,340282366920938463463374607431768211454,1669115385
25104858,8542740501454057472,340282366920938463463374607431768211454,1669129780
25107545,8543654840173973504,340282366920938463463374607431768211454,1669144180
25110233,8544569519176257536,340282366920938463463374607431768211454,1669158580
25112921,8545484198178540544,340282366920938463463374607431768211454,1669172980
25115609,8546398877180824576,340282366920938463463374607431768211454,1669187380
25118273,8547305389406302208,340282366920938463463374607431768211453,1669201775
25120956,8548218366996750336,340282366920938463463374607431768211453,1669216175
25123642,8549132365434300416,340282366920938463463374607431768211453,1669230575
25126330,8550047044436583424,340282366920938463463374607431768211453,1669244975
25129018,8550961723438867456,340282366920938463463374607431768211453,1669259375
25131705,8551876062158783488,340282366920938463463374607431768211453,1669273775
25134384,8552787678619764736,340282366920938463463374607431768211453,1669288175
25137069,8553701336774947840,340282366920938463463374607431768211454,1669302580
25139757,8554616015777230848,340282366920938463463374607431768211454,1669316980
25142445,8555530694779514880,340282366920938463463374607431768211454,1669331380
